id,url,image_name,link
BOT00511A,https://img.faballey.com/Images/Product/BOT00511A/1.jpg,Navy Striped Jeggings ,https://www.faballey.com/navy-striped-jeggings-109/prdt
BOT00512A,https://img.faballey.com/Images/Product/BOT00512A/1.jpg,Black Leather Patch Jeggings ,https://www.faballey.com/black-leather-patch-jeggings-109/prdt
BOT00492Z,https://img.faballey.com/Images/Product/BOT00492Z/1.jpg,Navy Flared Trousers,https://www.faballey.com/navy-flared-trousers-79/prdt
BOT00559Z,https://img.faballey.com/Images/Product/BOT00559Z/1.jpg,Black Drawstring Jogger Pants,https://www.faballey.com/black-drawstring-jogger-pants-79/prdt
BOT00447A,https://img.faballey.com/Images/Product/BOT00447A/1.jpg,Black Front Zip Leggings,https://www.faballey.com/black-front-zip-leggings-117/prdt
BOT00556Z,https://img.faballey.com/Images/Product/BOT00556Z/1.jpg,Bottle Green Knit Drawstring Jogger Pants,https://www.faballey.com/bottle-green-knit-drawstring-jogger-pants-79/prdt
BOT00557Z,https://img.faballey.com/Images/Product/BOT00557Z/1.jpg,Navy Drawstring Jogger Pants,https://www.faballey.com/blue-drawstring-jogger-pants-79/prdt
BOT00483Z,https://img.faballey.com/Images/Product/BOT00483Z/1.jpg,Navy Crushed Culottes ,https://www.faballey.com/navy-crushed-culottes-79/prdt
BOT00481Z,https://img.faballey.com/Images/Product/BOT00481Z/1.jpg,Wine Crushed Culottes ,https://www.faballey.com/wine-crushed-culottes-79/prdt
BOT00392A,https://img.faballey.com/Images/Product/BOT00392A/1.jpg,Olive Side Stripe Leggings ,https://www.faballey.com/olive-side-stripe-leggings-117/prdt
BOT00271A,https://img.faballey.com/Images/Product/BOT00271A/1.jpg,Leather Panel Jeggings - Blue,https://www.faballey.com/leather-panel-jeggings-blue-117/prdt
BOT00515A,https://img.faballey.com/Images/Product/BOT00515A/1.jpg,Black Mustard Side Striped Jeggings ,https://www.faballey.com/black-mustard-side-striped-jeggings-109/prdt
BOT00478Z,https://img.faballey.com/Images/Product/BOT00478Z/1.jpg,Striped Wide Legged Pants - Pink,https://www.faballey.com/striped-wide-legged-pants-pink-79/prdt
BOT00563Z,https://img.faballey.com/Images/Product/BOT00563Z/1.jpg,Blue White Striped Wide Legged Pants ,https://www.faballey.com/blue-white-striped-wide-legged-pants-79/prdt
BOT00440A,https://img.faballey.com/Images/Product/BOT00440A/1.jpg,Black White Side Panel Buttoned Leggings,https://www.faballey.com/black-white-side-panel-buttoned-leggings-117/prdt
BOT00541Z,https://img.faballey.com/Images/Product/BOT00541Z/1.jpg,Oxblood Drawstring Jogger Pants,https://www.faballey.com/oxblood-drawstring-jogger-pants-320/prdt
BOT00560Z,https://img.faballey.com/Images/Product/BOT00560Z/1.jpg,Navy White Striped Wide Legged Pants ,https://www.faballey.com/navy-white-striped-wide-legged-pants-79/prdt
BOT00538Z,https://img.faballey.com/Images/Product/BOT00538Z/1.jpg,Black Printed Belted Palazzo Pants ,https://www.faballey.com/black-printed-belted-palazzo-pants-320/prdt
BOT00458A,https://img.faballey.com/Images/Product/BOT00458A/1.jpg,Black Buttoned Side Leggings,https://www.faballey.com/black-buttoned-side-leggings-117/prdt
BOT00552Z,https://img.faballey.com/Images/Product/BOT00552Z/1.jpg,Grey Straight Leg Jogger Pants ,https://www.faballey.com/grey-straight-leg-jogger-pants-79/prdt
BOT00473Z,https://img.faballey.com/Images/Product/BOT00473Z/1.jpg,Green Striped Trousers,https://www.faballey.com/green-striped-trousers-264/prdt
BOT00544Z,https://img.faballey.com/Images/Product/BOT00544Z/1.jpg,Black Straight Leg Pyjama Pants ,https://www.faballey.com/black-straight-leg-pyjama-pants-320/prdt
BOT00501Z,https://img.faballey.com/Images/Product/BOT00501Z/1.jpg,Wine Belted Formal Trousers ,https://www.faballey.com/wine-belted-formal-trousers-79/prdt
BOT00529Z,https://img.faballey.com/Images/Product/BOT00529Z/1.jpg,Wine Pinstriped Formal Pants ,https://www.faballey.com/wine-pinstriped-formal-pants-79/prdt
BOT00554Z,https://img.faballey.com/Images/Product/BOT00554Z/1.jpg,Navy Straight Leg Jogger Pants ,https://www.faballey.com/navy-straight-leg-jogger-pants-79/prdt
BOT00562Z,https://img.faballey.com/Images/Product/BOT00562Z/1.jpg,Rust Pleated Belted Pants ,https://www.faballey.com/rust-pleated-belted-pants-79/prdt
BOT00561Z,https://img.faballey.com/Images/Product/BOT00561Z/1.jpg,Beige Polka Pleated Belted Pants ,https://www.faballey.com/beige-polka-pleated-belted-pants-79/prdt
BOT00553Z,https://img.faballey.com/Images/Product/BOT00553Z/1.jpg,Teal Drawstring Jogger Pants,https://www.faballey.com/teal-drawstring-jogger-pants-79/prdt
BOT00565Z,https://img.faballey.com/Images/Product/BOT00565Z/1.jpg,Wine Crushed Wide Legged Pants ,https://www.faballey.com/wine-crushed-wide-legged-pants-79/prdt
BOT00523Z,https://img.faballey.com/Images/Product/BOT00523Z/1.jpg,Light Blue Wide Legged Belted Pants ,https://www.faballey.com/light-blue-wide-legged-belted-pants-79/prdt
BOT00528Z,https://img.faballey.com/Images/Product/BOT00528Z/1.jpg,Blue Pinstriped Formal Pants ,https://www.faballey.com/blue-pinstriped-formal-pants-79/prdt
BOT00446A,https://img.faballey.com/Images/Product/BOT00446A/1.jpg,Black Pink Panel Leggings,https://www.faballey.com/black-pink-panel-leggings-117/prdt
BOT00444A,https://img.faballey.com/Images/Product/BOT00444A/1.jpg,Black White Striped Grommet Hem Leggings,https://www.faballey.com/black-white-striped-grommet-hem-leggings-117/prdt
